Unnamed: 0;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year;Duration;Action;Adventure;Comedy;Drama;Fantasy;Mystery;Sci-Fi;Suspense;Romance;Slice of Life;Supernatural;Sports;Ecchi;Horror;Avant Garde;Boys Love;Gourmet;Girls Love; R - 17+ (violence & profanity)  ; PG-13 - Teens 13 or older  ; R+ - Mild Nudity  ; PG - Children  ; G - All Ages  ;TV;Movie;OVA;ONA;Special;Shounen;Shoujo;Seinen;Josei;Kids
18;Code Geass: Hangyaku no Lelouch R2;2904;TV;25;24 min. per ep.;Sunrise;Original;Action,Drama,Sci-Fi;Mecha,Military,Super Power; R - 17+ (violence & profanity)  ;46;8.91;N\A;2008;24;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;Kimetsu no Yaiba: Yuukaku-hen;47778;TV;11;23 min. per ep.;ufotable;Manga;Action,Supernatural;Demons,Historical; R - 17+ (violence & profanity)  ;221;8.91;Shounen;2021;23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Owarimonogatari 2nd Season;35247;TV;7;22 min. per ep.;Shaft;Light;Comedy,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;530;8.91;N\A;2017;22;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Gintama.: Shirogane no Tamashii-hen - Kouhan-sen;37491;TV;14;24 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;1194;8.89;Shounen;2018;24;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Kimi no Na wa.;32281;Movie;1;1 hr. 46 min.;CoMix Wave Films;Original;Drama,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;11;8.88;N\A;2016;106;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Shingeki no Kyojin: The Final Season;40028;TV;16;23 min. per ep.;MAPPA;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;57;8.88;Shounen;2020;23;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;Shiguang Dailiren;44074;ONA;11;23 min. per ep.;Studio LAN;Original;Drama,Supernatural;N\A; PG-13 - Teens 13 or older  ;1200;8.83;N\A;2021;23;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Monster;19;TV;74;24 min. per ep.;Madhouse;Manga;Drama,Mystery,Suspense;N\A; R+ - Mild Nudity  ;156;8.82;Seinen;2004;24;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Gintama.: Shirogane no Tamashii-hen;36838;TV;12;24 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;1089;8.82;Shounen;2018;24;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Kizumonogatari III: Reiketsu-hen;31758;Movie;1;1 hr. 23 min.;Shaft;Light;Action,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;453;8.81;N\A;2017;83;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Mob Psycho 100 II;37510;TV;13;24 min. per ep.;Bones;Web;Action,Comedy,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;87;8.81;N\A;2019;24;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Ousama Ranking;40834;TV;23;23 min. per ep.;Wit Studio;Web;Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;659;8.81;N\A;2021;23;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou;32935;TV;10;24 min. per ep.;Production I.G;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;111;8.8;Shounen;2016;24;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Sen to Chihiro no Kamikakushi;199;Movie;1;2 hr. 4 min.;Studio Ghibli;Original;Adventure,Award Winning,Drama,Supernatural;N\A; PG - Children  ;43;8.79;N\A;2001;124;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Monogatari Series: Second Season;17074;TV;26;25 min. per ep.;Shaft;Light;Comedy,Mystery,Romance,Supernatural;N\A; R - 17+ (violence & profanity)  ;267;8.78;N\A;2013;25;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;45576;TV;12;23 min. per ep.;Studio Bind;Light;Drama,Fantasy,Ecchi;N\A; R - 17+ (violence & profanity)  ;336;8.77;N\A;2021;23;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Cowboy Bebop;1;TV;26;24 min. per ep.;Sunrise;Original;Action,Adventure,Comedy,Drama,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;42;8.76;N\A;1998;24;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Mushishi Zoku Shou 2nd Season;24701;TV;10;23 min. per ep.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;811;8.74;Seinen;2014;23;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;Hajime no Ippo;263;TV;75;23 min. per ep.;Madhouse;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;367;8.74;Shounen;2000;23;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Fate/stay night Movie: Heaven's Feel - III. Spring Song;33050;Movie;1;2 hr. 2 min.;ufotable;Visual;Action,Fantasy,Supernatural;N\A; R - 17+ (violence & profanity)  ;743;8.73;N\A;2020;122;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Vinland Saga;37521;TV;24;24 min. per ep.;Wit Studio;Manga;Action,Adventure,Drama;N\A; R - 17+ (violence & profanity)  ;105;8.73;Seinen;2019;24;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Mo Dao Zu Shi: Wanjie Pian;40434;ONA;12;24 min. per ep.;B.CMAY PICTURES;Web;Action,Drama,Supernatural;Demons,Historical; R - 17+ (violence & profanity)  ;2651;8.71;N\A;2021;24;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Mushishi Zoku Shou;21939;TV;10;24 min. per ep.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;711;8.71;Seinen;2014;24;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;44;OVA;4;30 min. per ep.;Studio Deen;Manga;Action,Drama,Romance;Historical,Martial Arts,Samurai; R - 17+ (violence & profanity)  ;746;8.71;Shounen;1999;30;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Jujutsu Kaisen (TV);40748;TV;24;23 min. per ep.;MAPPA;Manga;Action,Supernatural;Demons,School; R - 17+ (violence & profanity)  ;38;8.71;Shounen;2020;23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Ashita no Joe 2;2921;TV;47;24 min. per ep.;Tokyo Movie Shinsha;Manga;Action,Drama,Slice of Life,Sports;N\A; PG-13 - Teens 13 or older  ;2924;8.7;Shounen;1980;24;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Code Geass: Hangyaku no Lelouch;1575;TV;25;24 min. per ep.;Sunrise;Original;Action,Drama,Sci-Fi;Mecha,Military,School,Super Power; R - 17+ (violence & profanity)  ;17;8.7;N\A;2006;24;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Great Teacher Onizuka;245;TV;43;25 min. per ep.;Studio Pierrot;Manga;Comedy,Drama;N\A; R - 17+ (violence & profanity)  ;208;8.69;Shounen;1999;25;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;Made in Abyss;34599;TV;13;25 min. per ep.;Kinema Citrus;Web;Adventure,Drama,Fantasy,Mystery,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;95;8.69;N\A;2017;25;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;Made in Abyss Movie 3: Fukaki Tamashii no Reimei;36862;Movie;1;1 hr. 45 min.;Kinema Citrus;Web;Adventure,Drama,Fantasy,Mystery,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;591;8.69;N\A;2020;105;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Mononoke Hime;164;Movie;1;2 hr. 13 min.;Studio Ghibli;Original;Action,Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;100;8.68;N\A;1997;133;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
