sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
31;Sen to Chihiro no Kamikakushi;199;Movie;2 hr. 4 min.;['Studio Ghibli'];Original;['Adventure', 'Award Winning', 'Drama', 'Supernatural'];N\A; PG - Children  ;43;8.79
32;Monogatari Series: Second Season;17074;TV;25 min. per ep.;['Shaft'];Light;['Comedy', 'Mystery', 'Romance', 'Supernatural'];N\A; R - 17+ (violence & profanity)  ;267;8.78
33;Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;45576;TV;23 min. per ep.;['Studio Bind'];Light;['Drama', 'Fantasy', 'Ecchi'];N\A; R - 17+ (violence & profanity)  ;339;8.77
34;Odd Taxi;46102;TV;23 min. per ep.;['OLM', 'P.I.C.S.'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;854;8.77
35;Kingdom 3rd Season;40682;TV;25 min. per ep.;['Pierrot Plus', 'Studio Signpost'];Manga;N\A;['Historical', 'Military']; R - 17+ (violence & profanity)  ;2310;8.77
36;Cowboy Bebop;1;TV;24 min. per ep.;['Sunrise'];Original;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi'];N\A; R - 17+ (violence & profanity)  ;42;8.76
37;Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;33095;TV;24 min. per ep.;['Studio Deen'];Manga;N\A;N\A; PG-13 - Teens 13 or older  ;1126;8.75
38;Mushishi Zoku Shou 2nd Season;24701;TV;23 min. per ep.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;811;8.74
39;Hajime no Ippo;263;TV;23 min. per ep.;['Madhouse'];Manga;['Comedy', 'Drama', 'Sports'];N\A; PG-13 - Teens 13 or older  ;367;8.74
40;Fate/stay night Movie: Heaven's Feel - III. Spring Song;33050;Movie;2 hr. 2 min.;['ufotable'];Visual;['Action', 'Fantasy', 'Supernatural'];N\A; R - 17+ (violence & profanity)  ;743;8.73
41;Vinland Saga;37521;TV;24 min. per ep.;['Wit Studio'];Manga;['Action', 'Adventure', 'Drama'];N\A; R - 17+ (violence & profanity)  ;104;8.73
42;Mo Dao Zu Shi: Wanjie Pian;40434;ONA;24 min. per ep.;['B.CMAY PICTURES'];Novel;['Action', 'Drama', 'Supernatural'];['Demons', 'Historical']; R - 17+ (violence & profanity)  ;2649;8.71
43;Mushishi Zoku Shou;21939;TV;24 min. per ep.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;713;8.71
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;44;OVA;30 min. per ep.;['Studio Deen'];Manga;['Action', 'Drama', 'Romance'];['Historical', 'Martial Arts', 'Samurai']; R - 17+ (violence & profanity)  ;746;8.71
45;Jujutsu Kaisen (TV);40748;TV;23 min. per ep.;['MAPPA'];Manga;['Action', 'Supernatural'];['Demons', 'School']; R - 17+ (violence & profanity)  ;38;8.71
46;Ashita no Joe 2;2921;TV;24 min. per ep.;['Tokyo Movie Shinsha'];Manga;['Action', 'Drama', 'Slice of Life', 'Sports'];N\A; PG-13 - Teens 13 or older  ;2921;8.70
47;Code Geass: Hangyaku no Lelouch;1575;TV;24 min. per ep.;['Sunrise'];Original;['Action', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'School', 'Super Power']; R - 17+ (violence & profanity)  ;17;8.70
48;Kimetsu no Yaiba Movie: Mugen Ressha-hen;40456;Movie;1 hr. 56 min.;['ufotable'];Manga;N\A;['Demons', 'Historical']; R - 17+ (violence & profanity)  ;120;8.70
49;Great Teacher Onizuka;245;TV;25 min. per ep.;['Studio Pierrot'];Manga;['Comedy', 'Drama'];N\A; R - 17+ (violence & profanity)  ;207;8.69
50;Made in Abyss;34599;TV;25 min. per ep.;['Kinema Citrus'];Web;['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'];N\A; R - 17+ (violence & profanity)  ;95;8.69
