Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
26908;He Wei Dao x Re:Cong Ling Kaishi de Yi Shijie Shenghuo;38389;ONA;2 min. per ep.;['add some'];Light;N\A;N\A; G - All Ages  ;5012;5.97
3620;Kyouryuu Shoujo Gauko;39849;ONA;7 min. per ep.;['Ascension'];Original;N\A;N\A; G - All Ages  ;10344;6.17
6020;Genesis Climber Mospeada: Love, Live, Alive;3671;OVA;50 min.;['add some'];Unknown;N\A;['Mecha', 'Music']; PG - Children  ;10357;6.16
41967;Majokko Club Yoningumi: A Kuukan kara no Alien X;2080;OVA;27 min.;['Studio Pierrot'];Original;['Action', 'Comedy', 'Sci-Fi'];N\A; PG-13 - Teens 13 or older  ;11149;5.71
27597;Umi Monogatari: Kanon to Iku Amamikoshima;10306;Special;1 min. per ep.;['Zexcs'];Game;N\A;N\A; PG-13 - Teens 13 or older  ;9844;5.96
31063;3-pun de Wakaru! Kore made no Love Live!;41204;ONA;3 min.;['Sunrise'];Unknown;N\A;N\A; PG-13 - Teens 13 or older  ;8906;6.03
4395;Agigongryong Doolie;17088;TV;15 min. per ep.;['add some'];Unknown;N\A;N\A; PG - Children  ;13332;6.13
36146;Bouken Yuuki Pluster World;3637;TV;24 min. per ep.;"['Actas', ""Brain's Base""]";Original;['Action', 'Adventure', 'Sci-Fi'];N\A; G - All Ages  ;11705;6.08
4937;Peng You Town;7709;Special;5 min.;['add some'];Unknown;N\A;N\A; G - All Ages  ;14372;5.7
6630;Shiba Inuko-san;13141;TV;1 min. per ep.;['Hotline'];Manga;N\A;N\A; G - All Ages  ;5628;5.74
1956;Precure kara Minna e no Ouen Movie;10736;ONA;32 sec.;['Toei Animation'];Original;N\A;N\A; G - All Ages  ;9619;6.07
6261;Bakukyuu Renpatsu!! Super B-Daman;2702;TV;40 min. per ep.;['Xebec'];Unknown;N\A;N\A; G - All Ages  ;10933;6.2
18139;Highschool Aurabuster: Hikari no Mezame;2739;OVA;27 min. per ep.;['OLM'];Unknown;['Drama', 'Fantasy'];N\A; None  ;12405;5.9
24905;Kaitouranma The Animation;2483;OVA;28 min. per ep.;['animate Film'];Visual;['Action', 'Adventure'];['Martial Arts', 'Samurai']; PG-13 - Teens 13 or older  ;9325;5.89
31626;Junod;9525;Movie;1 hr. 4 min.;['Studio Hibari'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;12193;6.11
14022;Tenshi no Shippo Chu!: Tenshi no Utagoe;22231;OVA;25 min.;['Tokyo Kids'];Unknown;['Fantasy', 'Romance'];N\A; PG-13 - Teens 13 or older  ;12455;6.08
11463;Rakugo Tennyo Oyui;2244;TV;24 min. per ep.;['TNK'];Unknown;N\A;N\A; PG-13 - Teens 13 or older  ;9569;5.9
41144;Harbor Tale;28759;Movie;18 min.;['add some'];Unknown;['Adventure', 'Fantasy'];N\A; G - All Ages  ;14524;5.96
40912;Brothers Conflict;15605;TV;24 min. per ep.;"[""Brain's Base""]";Novel;N\A;N\A; PG-13 - Teens 13 or older  ;1126;6.01
