;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
493;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA;33161;OVA;1;23 min.;feel.;Light;Comedy,Romance;N\A; PG-13 - Teens 13 or older  ;908;8.05;N\A;2016
494;Mobile Suit Gundam: Iron-Blooded Orphans;31251;TV;25;24 min. per ep.;Sunrise;Original;Action,Drama,Sci-Fi;Mecha,Space; R - 17+ (violence & profanity)  ;955;8.04;N\A;2015
495;Saiunkoku Monogatari 2nd Season;1914;TV;39;25 min. per ep.;Madhouse;Light;Adventure,Comedy,Drama,Fantasy,Romance;N\A; PG-13 - Teens 13 or older  ;3010;8.04;N\A;2007
496;SK∞;42923;TV;12;23 min. per ep.;Bones;Original;Comedy,Sports;N\A; PG-13 - Teens 13 or older  ;450;8.04;N\A;2021
497;Tsumiki no Ie;5365;Movie;1;12 min.;Oh! Production;Original;Award Winning,Drama;N\A; G - All Ages  ;1848;8.04;N\A;2008
498;Zombieland Saga: Revenge;40174;TV;12;23 min. per ep.;MAPPA;Original;Comedy,Supernatural;N\A; R - 17+ (violence & profanity)  ;1138;8.04;N\A;2021
499;BanG Dream! 3rd Season;37870;TV;13;23 min. per ep.;SANZIGEN;Other;N\A;N\A; PG-13 - Teens 13 or older  ;3472;8.04;N\A;2020
500;Boku no Hero Academia the Movie 2: Heroes:Rising;39565;Movie;1;1 hr. 44 min.;Bones;Manga;N\A;N\A; PG-13 - Teens 13 or older  ;394;8.04;Shounen;2019
501;Eve no Jikan;3167;ONA;6;18 min. per ep.;Studio Rikka;Original;Sci-Fi,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1098;8.04;N\A;2008
502;Juuni Kokuki;153;TV;45;25 min. per ep.;Studio Pierrot;Novel;Action,Adventure,Fantasy,Supernatural;N\A; PG-13 - Teens 13 or older  ;1385;8.04;N\A;2002
503;Kara no Kyoukai 3: Tsuukaku Zanryuu;3783;Movie;1;59 min.;ufotable;Light;Action,Drama,Mystery,Supernatural,Suspense;N\A; R+ - Mild Nudity  ;918;8.04;N\A;2008
504;Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!;34626;OVA;1;28 min.;Studio Deen;Light;Adventure,Comedy,Fantasy,Supernatural;N\A; PG-13 - Teens 13 or older  ;583;8.04;N\A;2017
505;Lovely★Complex;2034;TV;24;24 min. per ep.;Toei Animation;Manga;Comedy,Romance;N\A; PG-13 - Teens 13 or older  ;333;8.04;Shoujo;2007
506;Akatsuki no Yona;25013;TV;24;24 min. per ep.;Studio Pierrot;Manga;Action,Adventure,Comedy,Fantasy,Romance;N\A; PG-13 - Teens 13 or older  ;192;8.03;Shoujo;2014
507;Baby Steps 2nd Season;27663;TV;25;24 min. per ep.;Studio Pierrot;Manga;Romance,Sports;N\A; PG-13 - Teens 13 or older  ;1899;8.03;Shounen;2015
508;Black Lagoon;889;TV;12;24 min. per ep.;Madhouse;Manga;N\A;N\A; R - 17+ (violence & profanity)  ;146;8.03;Seinen;2006
509;Black Lagoon: Roberta's Blood Trail;4901;OVA;5;33 min. per ep.;Madhouse;Manga;N\A;N\A; R+ - Mild Nudity  ;756;8.03;Seinen;2010
510;D.Gray-man;1482;TV;103;23 min. per ep.;TMS Entertainment;Manga;Action,Adventure,Comedy;Demons,Super Power; PG-13 - Teens 13 or older  ;242;8.03;Shounen;2006
511;Detective Conan Movie 03: The Last Wizard of the Century;781;Movie;1;1 hr. 40 min.;TMS Entertainment;Manga;Adventure,Comedy,Mystery;N\A; PG-13 - Teens 13 or older  ;2374;8.03;Shounen;1999
512;Detective Conan Movie 04: Captured in Her Eyes;1363;Movie;1;1 hr. 40 min.;TMS Entertainment;Manga;Adventure,Comedy,Mystery;N\A; PG-13 - Teens 13 or older  ;2460;8.03;Shounen;2000
513;Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi;10534;Movie;1;1 hr. 48 min.;Shin-Ei Animation;Unknown;Adventure,Comedy,Fantasy;N\A; PG - Children  ;5427;8.03;N\A;2011
514;Eiga Daisuki Pompo-san (Movie);41361;Movie;1;1 hr. 34 min.;CLAP;Web;Comedy,Drama;N\A; PG-13 - Teens 13 or older  ;5706;8.03;N\A;2021
515;FLCL;227;OVA;6;25 min. per ep.;Gainax,Production I.G;Original;Action,Avant Garde,Comedy,Sci-Fi;Mecha,Parody,Psychological; PG-13 - Teens 13 or older  ;201;8.03;N\A;2000
516;Ginga Nagareboshi Gin;589;TV;21;23 min. per ep.;Toei Animation;Manga;Action,Adventure,Drama;N\A; PG-13 - Teens 13 or older  ;3797;8.03;Shounen;1986
517;Hachimitsu to Clover;16;TV;24;23 min. per ep.;J.C.Staff;Manga;Comedy,Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;786;8.03;Josei;2005
518;Kami nomi zo Shiru Sekai: Megami-hen;16706;TV;12;24 min. per ep.;Manglobe;Manga;Comedy,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;579;8.03;Shounen;2013
519;Magi: The Labyrinth of Magic;14513;TV;25;24 min. per ep.;A-1 Pictures;Manga;Action,Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;126;8.03;Shounen;2012
520;Toaru Kagaku no Railgun S;16049;TV;24;24 min. per ep.;J.C.Staff;Manga;Action,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;518;8.03;N\A;2013
521;Tokyo Magnitude 8.0;6211;TV;11;22 min. per ep.;Bones,Kinema Citrus;Original;N\A;N\A; PG-13 - Teens 13 or older  ;696;8.03;N\A;2009
522;Yahari Ore no Seishun Love Comedy wa Machigatteiru.;14813;TV;13;24 min. per ep.;Brain's Base;Light;Comedy,Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;81;8.03;N\A;2013
523;Omae Umasou da na;9204;Movie;1;1 hr. 30 min.;Ajia-Do;Picture;Action,Adventure,Fantasy;N\A; G - All Ages  ;4448;8.02;Kids;2010
524;Slayers Next;535;TV;26;24 min. per ep.;E&G Films;Light;Adventure,Comedy,Fantasy;N\A; PG-13 - Teens 13 or older  ;2228;8.02;N\A;1996
525;Tate no Yuusha no Nariagari;35790;TV;25;24 min. per ep.;Kinema Citrus;Light;Action,Adventure,Drama,Fantasy;N\A; PG-13 - Teens 13 or older  ;78;8.02;N\A;2019
526;Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku;34376;Movie;1;48 min.;Studio Gokumi;Light;Drama,Fantasy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;4879;8.02;N\A;2017
527;Clannad;2167;TV;23;24 min. per ep.;Kyoto Animation;Visual;Comedy,Drama,Romance,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;73;8.02;N\A;2007
528;Detective Conan Movie 15: Quarter of Silence;9963;Movie;1;1 hr. 49 min.;TMS Entertainment;Manga;Adventure,Comedy,Mystery;N\A; G - All Ages  ;2830;8.02;Shounen;2011
529;Doupo Cangqiong 4th Season;44412;ONA;24;24 min. per ep.;Motion Magic;Novel;Action,Adventure,Fantasy,Romance,Supernatural;Demons,Martial Arts; PG-13 - Teens 13 or older  ;8627;8.02;N\A;2021
530;ef: A Tale of Melodies.;4789;TV;12;24 min. per ep.;Shaft;Visual;Drama,Mystery,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;1195;8.02;N\A;2008
531;Evangelion: 1.0 You Are (Not) Alone;2759;Movie;1;1 hr. 41 min.;Khara;Original;Action,Drama,Sci-Fi;Mecha,Psychological; PG-13 - Teens 13 or older  ;364;8.02;N\A;2007
532;Fate/Grand Carnival;44248;OVA;4;15 min. per ep.;Lerche;Game;Comedy,Fantasy,Supernatural;N\A; PG-13 - Teens 13 or older  ;3078;8.02;N\A;2020
533;Golden Boy;268;OVA;6;28 min. per ep.;APPP;Manga;Adventure,Comedy,Ecchi;N\A; R+ - Mild Nudity  ;589;8.02;N\A;1995
534;Kaichou wa Maid-sama!;7054;TV;26;24 min. per ep.;J.C.Staff;Manga;Comedy,Romance;N\A; PG-13 - Teens 13 or older  ;94;8.02;Shoujo;2010
535;Kamisama Hajimemashita OVA;18661;OVA;2;14 min. per ep.;TMS Entertainment;Manga;Comedy,Fantasy,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;1547;8.02;Shoujo;2013
536;Kara no Kyoukai Movie: Mirai Fukuin;14807;Movie;1;1 hr. 30 min.;ufotable;Light;Drama,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;1664;8.02;Seinen;2013
537;Love Live! Superstar!!;41169;TV;12;23 min. per ep.;Sunrise;Other;N\A;Music,School; PG-13 - Teens 13 or older  ;2678;8.02;N\A;2021
538;Aria the OVA: Arietta;2563;OVA;1;30 min.;Hal Film Maker;Manga;Fantasy,Sci-Fi,Slice of Life;N\A; G - All Ages  ;3162;8.01;Shounen;2007
539;Eve no Jikan (Movie);7465;Movie;1;1 hr. 46 min.;Studio Rikka;Original;Sci-Fi,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1489;8.01;N\A;2010
540;Fullmetal Alchemist: Brotherhood Specials;6421;Special;4;15 min. per ep.;Bones;Manga;Adventure,Drama,Fantasy;N\A; PG-13 - Teens 13 or older  ;1277;8.01;Shounen;2009
541;Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen;39468;TV;14;23 min. per ep.;Ajia-Do;Light;Fantasy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;904;8.01;N\A;2019
542;Maoujou de Oyasumi;40397;TV;12;23 min. per ep.;Doga Kobo;Manga;Comedy,Fantasy;N\A; PG-13 - Teens 13 or older  ;1202;8.01;Shounen;2020
543;Mobile Suit Gundam: The 08th MS Team;81;OVA;12;25 min. per ep.;Sunrise;Original;Adventure,Drama,Romance,Sci-Fi;Mecha,Military; PG-13 - Teens 13 or older  ;2096;8.01;N\A;1996
544;Nagi no Asu kara;16067;TV;26;23 min. per ep.;P.A. Works;Original;Drama,Fantasy,Romance;N\A; PG-13 - Teens 13 or older  ;311;8.01;N\A;2013
545;Persona 3 the Movie 4: Winter of Rebirth;31149;Movie;1;1 hr. 45 min.;A-1 Pictures;Game;Action,Fantasy,Supernatural;N\A; R - 17+ (violence & profanity)  ;2294;8.01;N\A;2016
546;Uma Musume: Pretty Derby (TV) Season 2;42941;TV;13;23 min. per ep.;Studio Kai;Game;Comedy,Slice of Life,Sports;N\A; PG-13 - Teens 13 or older  ;3275;8.01;N\A;2021
547;Wolf's Rain OVA;1023;OVA;4;23 min. per ep.;Bones;Original;Adventure,Drama,Sci-Fi,Supernatural;N\A; PG-13 - Teens 13 or older  ;2323;8.01;N\A;2004
548;Ookiku Furikabutte: Natsu no Taikai-hen;7720;TV;13;24 min. per ep.;A-1 Pictures;Manga;Comedy,Sports;N\A; PG-13 - Teens 13 or older  ;2862;8.00;Seinen;2010
549;Promare;35848;Movie;1;1 hr. 51 min.;Trigger;Original;Action,Sci-Fi;Mecha,Super Power; PG-13 - Teens 13 or older  ;816;8.00;N\A;2019
550;ReLIFE;30015;TV;13;23 min. per ep.;TMS Entertainment;Web;Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;137;8.00;N\A;2016
551;School Rumble: Ni Gakki;846;TV;26;24 min. per ep.;Studio Comet;Manga;Comedy,Romance;N\A; PG-13 - Teens 13 or older  ;1249;8.00;Shounen;2006
552;Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen;36949;TV;12;24 min. per ep.;J.C.Staff;Manga;Gourmet,Ecchi;N\A; PG-13 - Teens 13 or older  ;252;8.00;Shounen;2018
553;Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria;42916;Movie;1;1 hr. 37 min.;A-1 Pictures;Light;Action,Adventure,Fantasy,Romance;N\A; PG-13 - Teens 13 or older  ;1239;8.00;N\A;2021
554;Touch;1065;TV;101;25 min. per ep.;Gallop,Group TAC,Studio Junio;Manga;Drama,Romance,Slice of Life,Sports;N\A; PG-13 - Teens 13 or older  ;3335;8.00;Shounen;1985
555;Code Geass: Hangyaku no Lelouch III - Oudou;34440;Movie;1;2 hr. 20 min.;Sunrise;Original;Action,Sci-Fi;Mecha,Military,School,Super Power; R - 17+ (violence & profanity)  ;1965;8.00;N\A;2018
556;Durarara!!x2 Shou;23199;TV;12;24 min. per ep.;Shuka;Light;Action,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;397;8.00;N\A;2015
557;Hanada Shounen-shi;2004;TV;25;25 min. per ep.;Madhouse;Manga;Comedy,Drama,Slice of Life,Supernatural;N\A; R - 17+ (violence & profanity)  ;4815;8.00;Seinen;2002
558;Hibike! Euphonium;27989;TV;13;23 min. per ep.;Kyoto Animation;Novel;N\A;Music,School; PG-13 - Teens 13 or older  ;444;8.00;N\A;2015
559;High Score Girl II;39570;TV;9;23 min. per ep.;J.C.Staff;Manga;Comedy,Romance;Game,School; PG-13 - Teens 13 or older  ;1530;8.00;Seinen;2019
560;High Score Girl: Extra Stage;38422;OVA;3;25 min. per ep.;J.C.Staff;Manga;Comedy,Romance;Game,School; PG-13 - Teens 13 or older  ;2262;8.00;Seinen;2019
561;Kakushigoto (TV);40716;TV;12;23 min. per ep.;Ajia-Do;Manga;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;707;8.00;Shounen;2020
562;Kimi ni Todoke;6045;TV;25;22 min. per ep.;Production I.G;Manga;Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;164;8.00;Shoujo;2009
563;Kobayashi-san Chi no Maid Dragon;33206;TV;13;24 min. per ep.;Kyoto Animation;Manga;Comedy,Fantasy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;102;8.00;N\A;2017
564;Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven;2448;Special;1;2 hr. 41 min.;Production I.G;Unknown;Action,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;3557;8.00;N\A;2006
565;Aria the Origination: Sono Choppiri Himitsu no Basho ni...;4772;Special;1;24 min.;Hal Film Maker;Unknown;Comedy,Slice of Life;N\A; G - All Ages  ;4120;7.99;Shounen;2008
566;BanG Dream! Movie: Episode of Roselia - II: Song I Am.;41781;Movie;1;1 hr. 10 min.;SANZIGEN;Original;N\A;N\A; PG-13 - Teens 13 or older  ;7499;7.99;N\A;2021
567;Haikyuu!! Movie 2: Shousha to Haisha;30364;Movie;1;1 hr. 28 min.;Production I.G;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;2104;7.99;Shounen;2015
568;Kimi ni Todoke 2nd Season;9656;TV;12;23 min. per ep.;Production I.G;Manga;Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;442;7.99;Shoujo;2011
569;Kingdom;12031;TV;38;25 min. per ep.;Studio Pierrot;Manga;N\A;Historical,Military; R - 17+ (violence & profanity)  ;1108;7.99;Seinen;2012
570;Koukaku Kidoutai 2.0;4672;Movie;1;1 hr. 23 min.;Production I.G;Manga;Action,Sci-Fi;Mecha,Police,Psychological; R+ - Mild Nudity  ;1910;7.99;Seinen;2008
571;Major Movie: Yuujou no Winning Shot;5029;Movie;1;1 hr. 40 min.;Xebec;Manga;Action,Sports;N\A; PG-13 - Teens 13 or older  ;4223;7.99;Shounen;2008
572;Sakasama no Patema;12477;Movie;1;1 hr. 38 min.;Studio Rikka,Purple Cow Studio Japan;Original;Adventure,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;739;7.99;N\A;2013
573;Working!!!;25879;TV;13;23 min. per ep.;A-1 Pictures;4-koma;Comedy,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;839;7.99;Seinen;2015
574;xxxHOLiC;861;TV;24;24 min. per ep.;Production I.G;Manga;Comedy,Drama,Mystery,Supernatural;N\A; PG-13 - Teens 13 or older  ;654;7.99;N\A;2006
575;Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen;401;OVA;2;42 min. per ep.;Studio Deen;Manga;Drama,Romance;Historical,Samurai; R - 17+ (violence & profanity)  ;1986;7.98;Shounen;2001
576;Tennis no Ouji-sama: Zenkoku Taikai-hen - Final;4053;OVA;7;23 min. per ep.;M.S.C;Manga;Comedy,Sports;N\A; PG-13 - Teens 13 or older  ;3218;7.98;Shounen;2008
577;Akagami no Shirayuki-hime 2nd Season;31173;TV;12;24 min. per ep.;Bones;Manga;Drama,Fantasy,Romance;N\A; PG-13 - Teens 13 or older  ;581;7.98;Shoujo;2016
578;Durarara!!x2 Ten;27831;TV;12;24 min. per ep.;Shuka;Light;Action,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;494;7.98;N\A;2015
579;Ginga Eiyuu Densetsu: Die Neue These - Seiran 1;36369;Movie;4;25 min. per ep.;Production I.G;Novel;Action,Drama,Sci-Fi;Military,Space; R - 17+ (violence & profanity)  ;3970;7.98;N\A;2019
580;Hyouge Mono;9996;TV;39;25 min. per ep.;Bee Train;Manga;N\A;Historical,Samurai; R - 17+ (violence & profanity)  ;3724;7.98;Seinen;2011
581;Azumanga Daioh;66;TV;26;24 min. per ep.;J.C.Staff;4-koma;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;630;7.97;N\A;2002
582;Boku no Hero Academia 4th Season;38408;TV;25;24 min. per ep.;Bones;Manga;Action,Comedy;School,Super Power; PG-13 - Teens 13 or older  ;58;7.97;Shounen;2019
583;Haibane Renmei;387;TV;13;24 min. per ep.;Radix;Other;Drama,Fantasy,Mystery,Slice of Life;N\A; PG-13 - Teens 13 or older  ;785;7.97;N\A;2002
584;Hokuto no Ken;967;TV;109;25 min. per ep.;Toei Animation;Manga;Action,Drama,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;1496;7.97;Shounen;1984
585;Kanon (2006);1530;TV;24;24 min. per ep.;Kyoto Animation;Visual;Drama,Romance,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;749;7.97;N\A;2006
586;Mahou Shoujo Lyrical Nanoha A's;77;TV;13;25 min. per ep.;Seven Arcs;Original;Action,Comedy,Drama;N\A; PG-13 - Teens 13 or older  ;2308;7.97;N\A;2005
587;Noragami;20507;TV;12;24 min. per ep.;Bones;Manga;Action,Adventure,Comedy,Supernatural;N\A; PG-13 - Teens 13 or older  ;19;7.97;Shounen;2014
588;One Piece Film: Strong World Episode 0;8740;OVA;1;18 min.;Toei Animation;Manga;Action,Adventure,Comedy,Fantasy;N\A; PG-13 - Teens 13 or older  ;2047;7.97;Shounen;
589;Osomatsu-san;31174;TV;25;23 min. per ep.;Studio Pierrot;Original;N\A;N\A; R - 17+ (violence & profanity)  ;1185;7.97;N\A;2015
590;Phantom: Requiem for the Phantom;5682;TV;26;24 min. per ep.;Bee Train;Visual;Action,Drama,Suspense;N\A; R - 17+ (violence & profanity)  ;595;7.97;Seinen;2009
591;Quanzhi Gaoshou 2;37932;ONA;12;26 min. per ep.;Colored Pencil Animation;Novel;N\A;N\A; PG-13 - Teens 13 or older  ;1714;7.97;N\A;2020
592;Saint Seiya: The Lost Canvas - Meiou Shinwa;6171;OVA;13;24 min. per ep.;TMS Entertainment;Manga;Action,Adventure,Supernatural;Martial Arts,Super Power; PG-13 - Teens 13 or older  ;1727;7.97;Shounen;2009
593;Tekkon Kinkreet;2154;Movie;1;1 hr. 51 min.;Studio 4°C;Manga;Action,Adventure,Supernatural;N\A; R - 17+ (violence & profanity)  ;1710;7.97;N\A;2006
594;Wan Sheng Jie;41611;ONA;12;4 min. per ep.;add some;Web;Comedy,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;4910;7.97;N\A;2020
595;Wan Sheng Jie 2;42640;ONA;12;4 min. per ep.;add some;Web;Comedy,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;6718;7.97;N\A;2020
596;Youjo Senki;32615;TV;12;24 min. per ep.;Nut;Light;N\A;N\A; R - 17+ (violence & profanity)  ;173;7.97;N\A;2017
597;Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness;35382;Special;1;2 min.;MAPPA;Original;N\A;N\A; PG-13 - Teens 13 or older  ;2101;7.97;N\A;2017
598;Naruto;20;TV;220;23 min. per ep.;Studio Pierrot;Manga;Action,Adventure,Comedy;Martial Arts,Super Power; PG-13 - Teens 13 or older  ;8;7.96;Shounen;2002
599;Nurarihyon no Mago: Sennen Makyou;10049;TV;24;23 min. per ep.;Studio Deen;Manga;Action,Supernatural;N\A; PG-13 - Teens 13 or older  ;1232;7.96;Shounen;2011
600;Usagi Drop Specials;11113;Special;4;5 min. per ep.;Production I.G;Manga;N\A;N\A; PG-13 - Teens 13 or older  ;2217;7.96;Josei;2011
601;Boku no Hero Academia;31964;TV;13;24 min. per ep.;Bones;Manga;Action,Comedy;School,Super Power; PG-13 - Teens 13 or older  ;6;7.96;Shounen;2016
602;Dragon Ball;223;TV;153;24 min. per ep.;Toei Animation;Manga;Adventure,Comedy,Fantasy;Martial Arts,Super Power; PG-13 - Teens 13 or older  ;132;7.96;Shounen;1986
603;Hikaru no Go: Hokuto Hai e no Michi;645;Special;1;1 hr. 17 min.;Studio Pierrot;Manga;N\A;N\A; G - All Ages  ;3929;7.96;Shounen;2004
604;IDOLiSH7 Vibrato;36963;ONA;8;14 min. per ep.;TROYCA;Game;N\A;N\A; PG-13 - Teens 13 or older  ;5033;7.96;N\A;2018
605;Kindaichi Shounen no Jikenbo;2076;TV;148;24 min. per ep.;Toei Animation;Manga;N\A;N\A; R - 17+ (violence & profanity)  ;3664;7.96;Shounen;1997
606;Kobato.;5678;TV;24;24 min. per ep.;Madhouse;Manga;Comedy,Drama,Fantasy,Romance;N\A; PG-13 - Teens 13 or older  ;1208;7.96;N\A;2009
607;Kokoro Connect: Michi Random;16001;Special;4;27 min. per ep.;SILVER LINK.;Light;Comedy,Drama,Romance,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;789;7.96;N\A;2012
608;Macross F Movie 2: Sayonara no Tsubasa;7222;Movie;1;1 hr. 54 min.;Satelight,8bit;Original;Action,Romance,Sci-Fi;Mecha,Military,Music,Space; PG-13 - Teens 13 or older  ;3693;7.96;N\A;2011
609;Macross: Do You Remember Love?;1089;Movie;1;1 hr. 55 min.;Artland,Tatsunoko Production;Original;Action,Romance,Sci-Fi;Mecha,Military,Music,Space; PG-13 - Teens 13 or older  ;2853;7.96;N\A;1984
610;Mawaru Penguindrum;10721;TV;24;24 min. per ep.;Brain's Base;Original;Avant Garde,Comedy,Drama,Mystery;N\A; R - 17+ (violence & profanity)  ;677;7.96;N\A;2011
611;Clannad: Mou Hitotsu no Sekai, Tomoyo-hen;4059;Special;1;25 min.;Kyoto Animation;Visual;Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;652;7.95;N\A;2008
612;Douluo Dalu: Chongfan Haotian;49638;ONA;13;21 min. per ep.;Sparkly Key Animation Studio;Novel;Action,Adventure,Fantasy,Romance;Historical,Martial Arts; PG-13 - Teens 13 or older  ;8660;7.95;N\A;2021
613;Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai;34100;Movie;1;1 hr. 29 min.;SILVER LINK.;Manga;Action,Fantasy;N\A; PG-13 - Teens 13 or older  ;1939;7.95;N\A;2017
614;Girls & Panzer: Saishuushou Part 1;33970;Movie;1;47 min.;Actas;Original;N\A;Military,School; PG-13 - Teens 13 or older  ;2973;7.95;N\A;2017
615;Gochuumon wa Usagi Desu ka? Bloom;38337;TV;12;24 min. per ep.;Encourage Films;4-koma;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;2569;7.95;N\A;2020
616;Haikyuu!! Movie 1: Owari to Hajimari;29755;Movie;1;1 hr. 29 min.;Production I.G;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;1980;7.95;Shounen;2015
617;Hanamonogatari;21855;TV;5;25 min. per ep.;Shaft;Light;Comedy,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;458;7.95;N\A;2014
618;Kimi to Boku. 2;11739;TV;13;24 min. per ep.;J.C.Staff;Manga;Comedy,Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1929;7.95;Shounen;2012
619;Kurenai no Buta;416;Movie;1;1 hr. 33 min.;Studio Ghibli;Manga;Action,Adventure,Comedy,Drama,Romance;Historical,Military; G - All Ages  ;931;7.95;N\A;1992
620;Log Horizon;17265;TV;25;25 min. per ep.;Satelight;Light;Action,Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;109;7.95;N\A;2013
621;Non Non Biyori;17549;TV;12;24 min. per ep.;SILVER LINK.;Manga;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;468;7.95;Seinen;2013
622;Sasaki to Miyano;44055;TV;12;23 min. per ep.;Studio Deen;Manga;Boys Love,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1859;7.95;N\A;2022
623;Trigun: Badlands Rumble;4106;Movie;1;1 hr. 30 min.;Madhouse;Manga;Action,Adventure,Comedy,Drama,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;1427;7.95;Shounen;2010
624;Wotaku ni Koi wa Muzukashii;35968;TV;11;22 min. per ep.;A-1 Pictures;Web;Comedy,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;167;7.95;N\A;2018
625;xxxHOLiC Movie: Manatsu no Yoru no Yume;793;Movie;1;1 hr.;Production I.G;Manga;Comedy,Drama,Mystery,Supernatural;N\A; PG-13 - Teens 13 or older  ;2313;7.95;N\A;2005
626;Yowamushi Pedal;18179;TV;38;24 min. per ep.;TMS Entertainment;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;910;7.95;Shounen;2013
627;Mobile Suit Gundam Thunderbolt;31973;ONA;4;18 min. per ep.;Sunrise;Manga;Action,Drama,Sci-Fi;Mecha,Military,Space; R - 17+ (violence & profanity)  ;2685;7.94;N\A;2015
628;Nekomonogatari: Kuro;15689;TV;4;24 min. per ep.;Shaft;Light;Comedy,Romance,Supernatural,Ecchi;N\A; R - 17+ (violence & profanity)  ;345;7.94;N\A;2012
629;Tamako Love Story;21647;Movie;1;1 hr. 23 min.;Kyoto Animation;Original;Comedy,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;556;7.94;N\A;2014
630;Umibe no Étranger;40615;Movie;1;59 min.;Studio Hibari;Manga;Boys Love,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1558;7.94;N\A;2020
631;Zetsuen no Tempest;14075;TV;24;24 min. per ep.;Bones;Manga;Action,Drama,Fantasy,Mystery;N\A; PG-13 - Teens 13 or older  ;310;7.94;Shounen;2012
632;Darker than Black: Kuro no Keiyakusha Gaiden;7338;Special;4;24 min. per ep.;Bones;Original;Action,Mystery,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;790;7.94;N\A;2010
633;Fate/Grand Order: Zettai Majuu Sensen Babylonia;38084;TV;21;23 min. per ep.;CloverWorks;Game;Action,Fantasy,Supernatural;N\A; PG-13 - Teens 13 or older  ;836;7.94;N\A;2019
634;Full Metal Panic! The Second Raid;73;TV;13;24 min. per ep.;Kyoto Animation;Light;N\A;Mecha,Military; R - 17+ (violence & profanity)  ;777;7.94;N\A;2005
635;Full Moon wo Sagashite;122;TV;52;24 min. per ep.;Studio Deen;Manga;Comedy,Drama,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;1696;7.94;Shoujo;2002
636;Kuuchuu Buranko;6774;TV;11;23 min. per ep.;Toei Animation;Novel;Comedy,Drama;N\A; R - 17+ (violence & profanity)  ;1902;7.94;Seinen;2009
