Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year;Duration;Action;Adventure;Comedy;Drama;Fantasy;Mystery;Sci-Fi;Suspense;Romance;Slice of Life;Supernatural;Sports;Ecchi;Horror;Avant Garde;Boys Love;Gourmet;Girls Love;Military;Super Power;Historical;Parody;Samurai;Space;Mecha;Demons;Martial Arts;School;Psychological;Police;Game;Harem;Vampire;Manga;Visual;Novel;Light;Original;Web;4-koma;Book;Picture;Card;Mixed; R - 17+ (violence & profanity)  ; PG-13 - Teens 13 or older  ; R+ - Mild Nudity  ; PG - Children  ; G - All Ages  ;TV;Movie;OVA;ONA;Special;Shounen;Shoujo;Seinen;Josei;Kids
Blood: The Last Vampire;405;Movie;1;48 min.;Production I.G;Original;Horror,Supernatural;N\A; R - 17+ (violence & profanity)  ;3339;6.89;N\A;2000;48;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Uchuu Senkan Tiramisù II Specials;39115;Special;4;7 min. per ep.;Gonzo;Web;Comedy,Sci-Fi,Slice of Life;Mecha,Space; PG-13 - Teens 13 or older  ;4833;6.4;Seinen;2019;7;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
Kuroshitsuji;4898;TV;24;24 min. per ep.;A-1 Pictures;Manga;Action,Comedy,Mystery,Supernatural;Demons,Historical; R - 17+ (violence & profanity)  ;952;7.69;Shounen;2008;24;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Nakitai Watashi wa Neko wo Kaburu;41168;Movie;1;1 hr. 44 min.;Studio Colorido;Original;Comedy,Drama,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;1820;7.35;N\A;2020;104;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Seikai no Senki III;398;OVA;2;37 min. per ep.;Sunrise;Light;Action,Romance,Sci-Fi;Military,Space; PG-13 - Teens 13 or older  ;996;7.67;N\A;2005;37;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Aitsu to Lullaby: Suiyobi no Cinderella;14183;Movie;1;50 min.;Studio Pierrot;Manga;Drama,Romance;N\A; PG-13 - Teens 13 or older  ;6064;5.78;Shounen;1987;50;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
Ristorante Paradiso;5984;TV;11;22 min. per ep.;David Production;Manga;Drama,Gourmet,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1845;7.34;Josei;2009;22;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
Daisougen no Chiisana Tenshi: Bush Baby;2913;TV;40;24 min. per ep.;Nippon Animation;Novel;Adventure,Drama;N\A; G - All Ages  ;2991;7.02;N\A;1992;24;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Tomie;36992;Special;2;10 min. per ep.;Studio Deen;Manga;Drama,Horror,Supernatural;N\A; R - 17+ (violence & profanity)  ;5577;6.1;Josei;2018;10;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Rozen Maiden: Träumend;65;TV;12;24 min. per ep.;Nomad;Manga;Action,Comedy,Drama;N\A; PG-13 - Teens 13 or older  ;1086;7.63;Seinen;2005;24;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
Hakuouki: Reimeiroku;13115;TV;12;23 min. per ep.;Studio Deen;Visual;Action,Drama,Supernatural;Historical,Samurai; R - 17+ (violence & profanity)  ;1509;7.45;Josei;2012;23;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Hinata no Aoshigure;20673;Movie;1;18 min.;Studio Colorido;Original;Adventure,Fantasy,Romance;N\A; PG - Children  ;3224;6.93;N\A;2013;18;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Yu☆Gi☆Oh! Zexal Special;16574;Special;1;8 min.;Gallop;Manga;Action,Fantasy;N\A; PG-13 - Teens 13 or older  ;5430;6.16;Shounen;2012;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
Senryuu Shoujo;38787;TV;12;12 min. per ep.;Connect;4-koma;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1654;7.4;Shounen;2019;12;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
AIKa;366;OVA;7;30 min. per ep.;Studio Fantasia;Original;Action,Adventure,Comedy,Sci-Fi,Ecchi;N\A; R+ - Mild Nudity  ;5876;5.93;N\A;1997;30;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Takahashi Rumiko Gekijou Ningyo no Mori;620;TV;13;24 min. per ep.;TMS Entertainment;Manga;Drama,Fantasy,Horror,Mystery;N\A; R - 17+ (violence & profanity)  ;2916;7.04;N\A;2003;24;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Mikan Enikki Specials;25661;Special;2;20 min. per ep.;Nippon Animation;Manga;Comedy,Slice of Life;N\A; G - All Ages  ;4961;6.34;Shoujo;1993;20;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0
86 Part 2;48569;TV;12;23 min. per ep.;A-1 Pictures;Light;Action,Drama,Sci-Fi;Mecha,Military; R - 17+ (violence & profanity)  ;138;8.42;N\A;2021;23;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Kaibutsu Oujo;2130;TV;25;24 min. per ep.;Madhouse;Manga;Action,Comedy,Horror,Supernatural;N\A; PG-13 - Teens 13 or older  ;3064;7.0;Shounen;2007;24;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Dream Hunter Rem;4003;OVA;4;40 min. per ep.;Anime R;Original;Mystery,Ecchi;N\A; R - 17+ (violence & profanity)  ;5435;6.16;N\A;1985;40;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Beyblade Burst;31049;TV;51;24 min. per ep.;OLM;Original;Action,Adventure,Sci-Fi,Sports;N\A; PG - Children  ;4840;6.4;Kids;2016;24;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
Hirune Hime: Shiranai Watashi no Monogatari;33204;Movie;1;1 hr. 46 min.;Signal.MD;Original;Adventure,Fantasy,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;3394;6.88;N\A;2017;106;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Yuru Yuri: San☆Hai!;30279;TV;12;23 min. per ep.;TYO Animations;Manga;Comedy,Girls Love,Slice of Life;N\A; PG-13 - Teens 13 or older  ;578;7.93;N\A;2015;23;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Xiang Ling Ji;36290;ONA;15;15 min. per ep.;Pb Animation Co. Ltd.,Studio LAN;Web;Action,Fantasy;N\A; PG-13 - Teens 13 or older  ;4468;6.53;N\A;2017;15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Zone of the Enders: Dolores, I;1249;TV;26;24 min. per ep.;Sunrise;Game;Action,Adventure,Comedy,Sci-Fi;Mecha,Military,Space; PG-13 - Teens 13 or older  ;3197;6.94;N\A;2001;24;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Rizelmine;197;TV;24;15 min. per ep.;Madhouse,Imagin;Manga;Comedy,Romance,Sci-Fi,Ecchi;N\A; R+ - Mild Nudity  ;4474;6.52;N\A;2002;15;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Soul Link;854;TV;12;25 min. per ep.;Picture Magic;Visual;Action,Adventure,Comedy,Romance,Sci-Fi;Military,Space; R - 17+ (violence & profanity)  ;5567;6.11;N\A;2006;25;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Maria†Holic: Alive;9712;TV;12;23 min. per ep.;Shaft;Manga;Comedy,Girls Love;Parody,School; PG-13 - Teens 13 or older  ;3114;6.97;N\A;2011;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo;37232;TV;12;23 min. per ep.;Encourage Films;Game;Action,Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;4450;6.53;N\A;2018;23;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai;2847;Movie;1;1 hr. 30 min.;OLM;Game;Action,Adventure,Comedy,Drama,Fantasy;N\A; PG - Children  ;2133;7.27;Kids;2007;90;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
Hakuouki: Reimeiroku OVA;18835;OVA;2;11 min. per ep.;Studio Deen;Visual;Action,Supernatural;N\A; PG-13 - Teens 13 or older  ;2604;7.14;Josei;2013;11;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
Shiroi Kiba White Fang Monogatari;5933;Special;1;1 hr. 13 min.;Sunrise;Novel;Adventure,Drama;N\A; G - All Ages  ;5017;6.33;N\A;1982;73;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!;1368;OVA;1;23 min.;TMS Entertainment;Manga;Comedy,Mystery;N\A; PG-13 - Teens 13 or older  ;1741;7.37;Shounen;2006;23;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
Golden Kamuy 2nd Season;37989;TV;12;23 min. per ep.;Geno Studio;Manga;Action,Adventure;N\A; R - 17+ (violence & profanity)  ;255;8.23;Seinen;2018;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Houma Hunter Lime;1284;OVA;3;27 min. per ep.;Production Reed;Visual;Comedy,Fantasy;N\A; PG-13 - Teens 13 or older  ;5704;6.04;N\A;1996;27;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Koukaku Kidoutai: Ghost Chaser;38600;Movie;1;8 min.;Production I.G;Manga;Action,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;5357;6.2;Seinen;2018;8;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
Phantom The Animation;438;OVA;3;30 min. per ep.;Arcs Create;Visual;Action,Drama;N\A; R - 17+ (violence & profanity)  ;4506;6.51;Shounen;2004;30;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Armitage III;1079;OVA;4;34 min. per ep.;AIC;Original;Action,Adventure,Romance,Sci-Fi;Mecha,Police; R - 17+ (violence & profanity)  ;3007;7.01;N\A;1995;34;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai;3014;Movie;1;59 min.;Artland,Madhouse,Kitty Films,Kitty Film Mitaka Studio;Novel;Action,Sci-Fi;Military,Space; PG-13 - Teens 13 or older  ;623;7.9;N\A;1988;59;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Sora no Otoshimono;5958;TV;13;24 min. per ep.;AIC ASTA;Manga;Comedy,Romance,Sci-Fi,Supernatural,Ecchi;N\A; PG-13 - Teens 13 or older  ;1991;7.3;Shounen;2009;24;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Hidamari Sketch x 365 Recap;28913;Special;1;50 min.;Shaft;4-koma;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;5500;6.14;N\A;2009;50;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
I My Me! Strawberry Eggs;509;TV;13;25 min. per ep.;TNK;Original;Comedy,Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;3699;6.78;N\A;2001;25;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Yuugo: Koushounin;1246;TV;13;24 min. per ep.;Artland;Manga;Action,Drama,Mystery;Military,Psychological; R - 17+ (violence & profanity)  ;2773;7.09;Seinen;2004;24;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
D.C.II: Da Capo II;2595;TV;13;25 min. per ep.;feel.;Visual;Drama,Romance,Ecchi;N\A; PG-13 - Teens 13 or older  ;3343;6.89;N\A;2007;25;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Uchuu Senkan Yamato 2199;12029;OVA;26;25 min. per ep.;Xebec,AIC;Original;Action,Drama,Sci-Fi;Military,Space; PG-13 - Teens 13 or older  ;176;8.34;N\A;2012;25;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Vandread: Gekitou-hen;1111;OVA;1;1 hr. 26 min.;Gonzo;Original;Action,Adventure,Comedy,Sci-Fi,Ecchi;Mecha,Space; PG-13 - Teens 13 or older  ;3368;6.89;N\A;2002;86;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen;34103;Special;1;24 min.;Lerche;Game;Action,Horror,Mystery;N\A; R - 17+ (violence & profanity)  ;1487;7.46;N\A;2016;24;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
High School DxD Specials;13357;Special;6;4 min. per ep.;TNK;Light;Comedy,Romance,Ecchi;Demons,Harem,School; R+ - Mild Nudity  ;2113;7.27;N\A;2012;4;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Gintama';9969;TV;51;24 min. per ep.;Sunrise;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;6;9.06;Shounen;2011;24;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Tenchi Muyou! GXP;1133;TV;26;24 min. per ep.;AIC;Original;Action,Comedy,Sci-Fi;Harem,Mecha,Police,Space; PG-13 - Teens 13 or older  ;2516;7.16;Shounen;2002;24;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
Yuusha Keisatsu J-Decker;5075;TV;48;24 min. per ep.;Sunrise;Original;Action,Adventure,Sci-Fi;Mecha,Police; G - All Ages  ;1926;7.32;N\A;1994;24;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Blade Runner: Black Out 2022;36308;ONA;1;15 min.;CygamesPictures;Other;Sci-Fi,Suspense;N\A; R - 17+ (violence & profanity)  ;3219;6.93;N\A;2017;15;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Koukaku Kidoutai;43;Movie;1;1 hr. 22 min.;Production I.G;Manga;Action,Sci-Fi;Mecha,Police,Psychological; R+ - Mild Nudity  ;231;8.28;Seinen;1995;82;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
Fantastic Children;455;TV;26;24 min. per ep.;Nippon Animation;Original;Adventure,Fantasy,Mystery,Romance,Sci-Fi,Suspense;N\A; PG-13 - Teens 13 or older  ;1310;7.53;N\A;2004;24;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Arabian Nights: Sindbad no Bouken (TV);2825;TV;52;25 min. per ep.;Nippon Animation;Book;Adventure,Fantasy,Romance;N\A; G - All Ages  ;2462;7.17;N\A;1975;25;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Recorder to Randoseru Re♪;13377;TV;13;3 min. per ep.;Seven;4-koma;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;3498;6.84;Seinen;2012;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
Yama no Susume: Third Season;35672;TV;13;13 min. per ep.;8bit;Manga;Adventure,Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1220;7.57;N\A;2018;13;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Mazinkaiser;1064;OVA;7;30 min. per ep.;Brain's Base;Manga;Adventure,Comedy,Sci-Fi;N\A; R+ - Mild Nudity  ;1948;7.32;Shounen;2001;30;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
Saenai Heroine no Sodatekata;23277;TV;12;23 min. per ep.;A-1 Pictures;Light;Comedy,Romance,Ecchi;Harem,School; PG-13 - Teens 13 or older  ;1384;7.5;N\A;2015;23;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Prince of Stride: Alternative;31559;TV;12;24 min. per ep.;Madhouse;Visual;Drama,Sports;N\A; PG-13 - Teens 13 or older  ;3295;6.91;N\A;2016;24;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Pokemon: Pikachu to Eievui Friends;16678;Movie;1;21 min.;OLM;Game;Adventure,Comedy,Fantasy;N\A; PG - Children  ;3673;6.79;Kids;2013;21;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
Otona Joshi no Anime Time;10178;Special;4;25 min. per ep.;Bones,Production Reed,The Answer Studio;Novel;Drama,Romance,Slice of Life;N\A; R - 17+ (violence & profanity)  ;1711;7.38;Josei;2011;25;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Malice@Doll;2261;OVA;3;30 min. per ep.;Soeishinsha;Original;Horror,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;5875;5.94;N\A;2001;30;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
