Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year;Duration;Action;Adventure;Comedy;Drama;Fantasy;Mystery;Sci-Fi;Suspense;Romance;Slice of Life;Supernatural;Sports;Ecchi;Horror;Avant Garde;Boys Love;Gourmet;Girls Love;Military;Super Power;Historical;Parody;Samurai;Space;Mecha;Demons;Martial Arts;School;Psychological;Police;Game;Harem;Vampire;Manga;Visual;Novel;Light;Original;Web;4-koma;Book;Picture;Card;Mixed; R - 17+ (violence & profanity)  ; PG-13 - Teens 13 or older  ; R+ - Mild Nudity  ; PG - Children  ; G - All Ages  ;TV;Movie;OVA;ONA;Special;Shounen;Shoujo;Seinen;Josei;Kids
Weiß Survive R;7463;TV;12;2 min. per ep.;Studio Hibari;Card;Comedy,Ecchi;N\A; PG-13 - Teens 13 or older  ;5687;6.05;N\A;2009;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Kobayashi-san Chi no OO Dragon;35145;Special;7;3 min. per ep.;Kyoto Animation;Manga;Comedy,Fantasy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;2273;7.23;N\A;2017;3;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Gravitation: Lyrics of Love;507;OVA;2;26 min. per ep.;Plum;Manga;Boys Love,Comedy,Romance;N\A; R - 17+ (violence & profanity)  ;3266;6.92;Shoujo;1999;26;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Frame Arms Girl;34427;TV;12;23 min. per ep.;Zexcs,Studio A-CAT;Other;Action,Sci-Fi,Slice of Life;N\A; PG-13 - Teens 13 or older  ;4865;6.39;N\A;2017;23;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Lupin III: Dead or Alive;1416;Movie;1;1 hr. 37 min.;Tokyo Movie Shinsha;Manga;Action,Adventure,Comedy,Mystery;N\A; PG-13 - Teens 13 or older  ;2608;7.14;Seinen;1996;97;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
Feng Yu Zhou;38489;Movie;1;1 hr. 45 min.;Beijing Rocen Digital;Original;Action,Adventure,Comedy,Drama,Fantasy;Demons,Historical,Super Power; PG-13 - Teens 13 or older  ;2927;7.04;N\A;2018;105;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Tennis no Ouji-sama: Message in a Bottle;29697;Special;1;11 min.;Production I.G;Manga;Comedy,Sports;N\A; PG-13 - Teens 13 or older  ;3964;6.69;Shounen;2009;11;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
Chance Triangle Session;2495;TV;13;24 min. per ep.;Madhouse;Radio;Drama,Slice of Life;N\A; PG-13 - Teens 13 or older  ;4539;6.5;N\A;2001;24;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA;12881;OVA;4;12 min. per ep.;add some;Visual;Comedy,Drama,Romance,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;6139;5.72;N\A;2004;12;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Kino no Tabi: The Beautiful World;486;TV;13;24 min. per ep.;A.C.G.T.;Light;Action,Adventure,Slice of Life;N\A; R - 17+ (violence & profanity)  ;217;8.3;N\A;2003;24;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Onegai☆Twins: Natsu wa Owaranai;524;OVA;1;25 min.;Daume;Original;Comedy,Drama,Romance;N\A; R+ - Mild Nudity  ;2970;7.02;N\A;2004;25;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Duel Masters Victory V3;21999;TV;51;24 min. per ep.;add some;Original;Action,Adventure,Comedy,Fantasy;N\A; PG-13 - Teens 13 or older  ;5927;5.89;Kids;2013;24;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
Persona 4 the Golden Animation: Thank you Mr. Accomplice;26359;Special;1;16 min.;A-1 Pictures;Game;Adventure,Drama,Mystery,Supernatural;N\A; PG-13 - Teens 13 or older  ;4455;6.53;N\A;2014;16;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Houkago Teibou Nisshi;39730;TV;12;23 min. per ep.;Doga Kobo;Manga;Comedy,Slice of Life,Sports;N\A; PG-13 - Teens 13 or older  ;1626;7.41;Seinen;2020;23;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai;5256;Special;1;21 min.;OLM;Game;Adventure,Fantasy;N\A; PG - Children  ;4327;6.57;N\A;2007;21;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Stratos 4 OVA;422;OVA;2;30 min. per ep.;Studio Fantasia;Original;Comedy,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;3870;6.72;Shounen;2004;30;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
Chouyaku Hyakuninisshu: Uta Koi.;13349;TV;13;24 min. per ep.;TYO Animations;Manga;Comedy,Romance;N\A; PG-13 - Teens 13 or older  ;1485;7.46;Josei;2012;24;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0
Chikyuu Bouei Kazoku;1962;TV;13;23 min. per ep.;Group TAC;Original;Action,Comedy,Drama,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;4124;6.63;N\A;2001;23;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Yousei Hime Ren;1630;OVA;2;27 min. per ep.;add some;Original;Adventure,Comedy,Fantasy;N\A; R+ - Mild Nudity  ;5654;6.06;N\A;1995;27;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Fullmetal Alchemist: Brotherhood;5114;TV;64;24 min. per ep.;Bones;Manga;Action,Adventure,Comedy,Drama,Fantasy;N\A; R - 17+ (violence & profanity)  ;0;9.15;Shounen;2009;24;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
IS: Infinite Stratos 2 - World Purge-hen;21653;OVA;1;44 min.;8bit;Light;Action,Comedy,Sci-Fi,Ecchi;Harem,Mecha; R+ - Mild Nudity  ;3350;6.89;N\A;2014;44;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita;42855;ONA;4;2 min. per ep.;AQUA ARIS;Web;Boys Love,Fantasy;N\A; PG-13 - Teens 13 or older  ;5979;5.85;N\A;2020;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Digimon Frontier: Ornismon Fukkatsu!!;3031;Movie;1;40 min.;Toei Animation;Original;Adventure,Comedy,Drama,Fantasy;N\A; PG - Children  ;3454;6.85;Shounen;2002;40;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
Monster Musume no Iru Nichijou;30307;TV;12;23 min. per ep.;Lerche;Manga;Comedy,Fantasy,Romance,Ecchi;N\A; R+ - Mild Nudity  ;3023;7.01;Seinen;2015;23;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
