sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
36;Cowboy Bebop;1;TV;24 min. per ep.;['Sunrise'];Original;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi'];N\A;N\A;42;8.76
37;Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;33095;TV;24 min. per ep.;['Studio Deen'];Manga;N\A;N\A;N\A;1126;8.75
38;Mushishi Zoku Shou 2nd Season;24701;TV;23 min. per ep.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A;N\A;811;8.74
39;Hajime no Ippo;263;TV;23 min. per ep.;['Madhouse'];Manga;['Comedy', 'Drama', 'Sports'];N\A;N\A;366;8.74
40;Fate/stay night Movie: Heaven's Feel - III. Spring Song;33050;Movie;2 hr. 2 min.;['ufotable'];Visual;['Action', 'Fantasy', 'Supernatural'];N\A;N\A;743;8.73
41;Vinland Saga;37521;TV;24 min. per ep.;['Wit Studio'];Manga;['Action', 'Adventure', 'Drama'];N\A;N\A;104;8.73
42;Mo Dao Zu Shi: Wanjie Pian;40434;ONA;24 min. per ep.;['B.CMAY PICTURES'];Novel;['Action', 'Drama', 'Supernatural'];['Demons', 'Historical'];N\A;2649;8.71
43;Mushishi Zoku Shou;21939;TV;24 min. per ep.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A;N\A;713;8.71
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;44;OVA;30 min. per ep.;['Studio Deen'];Manga;['Action', 'Drama', 'Romance'];['Historical', 'Martial Arts', 'Samurai'];N\A;746;8.71
45;Jujutsu Kaisen (TV);40748;TV;23 min. per ep.;['MAPPA'];Manga;['Action', 'Supernatural'];['Demons', 'School'];N\A;38;8.71
46;Ashita no Joe 2;2921;TV;24 min. per ep.;['Tokyo Movie Shinsha'];Manga;['Action', 'Drama', 'Slice of Life', 'Sports'];N\A;N\A;2929;8.70
47;Code Geass: Hangyaku no Lelouch;1575;TV;24 min. per ep.;['Sunrise'];Original;['Action', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'School', 'Super Power'];N\A;17;8.70
48;Kimetsu no Yaiba Movie: Mugen Ressha-hen;40456;Movie;1 hr. 56 min.;['ufotable'];Manga;N\A;['Demons', 'Historical'];N\A;120;8.70
49;Great Teacher Onizuka;245;TV;25 min. per ep.;['Studio Pierrot'];Manga;['Comedy', 'Drama'];N\A;N\A;207;8.69
50;Made in Abyss;34599;TV;25 min. per ep.;['Kinema Citrus'];Web;['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'];N\A;N\A;94;8.69
51;Made in Abyss Movie 3: Fukaki Tamashii no Reimei;36862;Movie;1 hr. 45 min.;['Kinema Citrus'];Web;['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'];N\A;N\A;590;8.69
52;Mononoke Hime;164;Movie;2 hr. 13 min.;['Studio Ghibli'];Original;['Action', 'Adventure', 'Fantasy'];N\A;N\A;100;8.68
53;Mushishi;457;TV;25 min. per ep.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A;N\A;194;8.67
54;Shigatsu wa Kimi no Uso;23273;TV;22 min. per ep.;['A-1 Pictures'];Manga;['Drama', 'Romance'];['Music', 'School'];N\A;21;8.67
55;Natsume Yuujinchou Shi;11665;TV;24 min. per ep.;"[""Brain's Base""]";Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A;N\A;862;8.66
56;Violet Evergarden;33352;TV;24 min. per ep.;['Kyoto Animation'];Light;['Drama', 'Fantasy', 'Slice of Life'];N\A;N\A;51;8.66
57;Evangelion: 3.0+1.0 Thrice Upon a Time;3786;Movie;2 hr. 35 min.;['Khara'];Original;['Action', 'Drama', 'Sci-Fi'];['Mecha', 'Psychological'];N\A;697;8.66
58;Haikyuu!! Second Season;28891;TV;24 min. per ep.;['Production I.G'];Manga;['Comedy', 'Drama', 'Sports'];N\A;N\A;83;8.66
59;Hajime no Ippo: New Challenger;5258;TV;23 min. per ep.;['Madhouse'];Manga;['Comedy', 'Drama', 'Sports'];N\A;N\A;799;8.66
60;Howl no Ugoku Shiro;431;Movie;1 hr. 59 min.;['Studio Ghibli'];Novel;['Adventure', 'Drama', 'Fantasy', 'Romance'];N\A;N\A;97;8.66
61;Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen;40591;TV;24 min. per ep.;['A-1 Pictures'];Manga;['Comedy', 'Romance'];['Psychological', 'School'];N\A;116;8.66
62;Tengen Toppa Gurren Lagann;2001;TV;24 min. per ep.;['Gainax'];Original;['Action', 'Adventure', 'Comedy', 'Sci-Fi'];N\A;N\A;56;8.64
63;Natsume Yuujinchou Roku;34591;TV;23 min. per ep.;['Shuka'];Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A;N\A;1166;8.63
64;Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai;38329;Movie;1 hr. 30 min.;['CloverWorks'];Light;['Drama', 'Romance', 'Supernatural'];N\A;N\A;303;8.63
65;Death Note;1535;TV;23 min. per ep.;['Madhouse'];Manga;['Mystery', 'Supernatural', 'Suspense'];['Police', 'Psychological'];N\A;1;8.63
66;One Piece;21;TV;24 min.;['Toei Animation'];Manga;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];N\A;N\A;26;8.62
67;Ping Pong the Animation;22135;TV;23 min. per ep.;['Tatsunoko Production'];Manga;['Drama', 'Sports'];N\A;N\A;540;8.62
68;Shingeki no Kyojin Season 3;35760;TV;23 min. per ep.;['Wit Studio'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power'];N\A;24;8.62
69;Suzumiya Haruhi no Shoushitsu;7311;Movie;2 hr. 41 min.;['Kyoto Animation'];Light;['Mystery', 'Romance', 'Sci-Fi', 'Supernatural'];N\A;N\A;305;8.62
70;Mushishi Zoku Shou: Suzu no Shizuku;28957;Movie;47 min.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A;N\A;1531;8.60
71;Ookami Kodomo no Ame to Yuki;12355;Movie;1 hr. 57 min.;['Studio Chizu'];Original;['Fantasy', 'Slice of Life'];N\A;N\A;197;8.60
72;Shouwa Genroku Rakugo Shinjuu;28735;TV;26 min. per ep.;['Studio Deen'];Manga;N\A;N\A;N\A;725;8.59
73;Kizumonogatari II: Nekketsu-hen;31757;Movie;1 hr. 4 min.;['Shaft'];Light;['Action', 'Mystery', 'Supernatural'];N\A;N\A;464;8.59
74;Hajime no Ippo: Rising;19647;TV;22 min. per ep.;['Madhouse', 'MAPPA'];Manga;['Comedy', 'Drama', 'Sports'];N\A;N\A;906;8.58
75;JoJo no Kimyou na Bouken Part 5: Ougon no Kaze;37991;TV;23 min. per ep.;['David Production'];Manga;['Action', 'Adventure'];N\A;N\A;162;8.58
76;Natsume Yuujinchou Go;32983;TV;23 min. per ep.;['Shuka'];Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A;N\A;1173;8.58
77;Natsume Yuujinchou San;10379;TV;24 min. per ep.;"[""Brain's Base""]";Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A;N\A;829;8.58
78;Yojouhan Shinwa Taikei;7785;TV;23 min. per ep.;['Madhouse'];Novel;['Comedy', 'Mystery', 'Romance'];N\A;N\A;465;8.58
